ref,symbol,company_name,category_number,category,shares
21490,DOMF,Dominion Stock Fund Limited,806,CLOSE - END MUTUAL FUND,5000000
21900,HGFA,HBL Growth Fund,806,CLOSE - END MUTUAL FUND,283500000
21902,INMF,Investec Mutual Fund Limited,806,CLOSE - END MUTUAL FUND,10000000
21903,HIFA,HBL Investment Fund,806,CLOSE - END MUTUAL FUND,284125000
21913,SINDM,Sindh Modaraba,819,MODARABAS,45000000
21920,PUDF,Prudential Stocks Fund Limited,806,CLOSE - END MUTUAL FUND,6000000
21940,TSMF,Tri-Star Mutual Fund Limited,806,CLOSE - END MUTUAL FUND,5000000
30980,FANM,First Al-Noor Modaraba,819,MODARABAS,21000000
31010,ARM,Allied Rental Modaraba,819,MODARABAS,220000000
31040,BFMOD,B.F. Modaraba,819,MODARABAS,7515158
31060,BRR,B.R.R. Guardian Modaraba,819,MODARABAS,94998489
31120,FCONM,First Constellation Modaraba,819,MODARABAS,6462500
31150,FIM,First Investec Modaraba,819,MODARABAS,3000000
31180,FECM,First Elite Capital Modaraba,819,MODARABAS,11340000
31220,FEM,First Equity Modaraba,819,MODARABAS,52440000
31235,FFLM,First Fidelity Leasing Modaraba,819,MODARABAS,26413804
31260,ORIXM,Orix Modaraba,819,MODARABAS,45383530
31300,FHAM,First Habib Modaraba,819,MODARABAS,201600000
31305,HMM,Habib Metro Mod,819,MODARABAS,30000000
31310,FTMM,First Treet Manufacturing Modaraba,819,MODARABAS,883590287
31330,FIBLM,First IBL Modaraba,819,MODARABAS,21687500
31350,FIMM,First Imrooz Modaraba,819,MODARABAS,3000000
31355,PIM,Popular Islamic Modaraba,819,MODARABAS,14000000
31420,KASBM,KASB Modaraba,819,MODARABAS,48066480
31430,MODAM,Modaraba Al-Mali,819,MODARABAS,79423945
31435,ORM,Orient Rental Mod,819,MODARABAS,75000000
31450,FNBM,First National Bank Modaraba,819,MODARABAS,25000000
31500,PAKMI,First Pak Modaraba,819,MODARABAS,12540000
31510,FPRM,First Paramount Modaraba,819,MODARABAS,13788418
31580,PMI,First Prudential Modaraba,819,MODARABAS,87217660
31640,FPJM,First Punjab Modaraba,819,MODARABAS,34020000
31720,FTSM,First Tri-Star Modaraba,819,MODARABAS,21163104
31760,TRSM,Trust Modaraba,819,MODARABAS,29800000
31780,FUDLM,First UDL Modaraba,819,MODARABAS,35120564
31800,UCAPM,Unicap Modaraba,819,MODARABAS,23640000
41018,CASH,Calcorp Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,10744413
41022,ENGL,English Leasing Limited,815,LEASING COMPANIES,8000000
41032,GRYL,Grays Leasing Limited,815,LEASING COMPANIES,21500000
41080,OLPL,OLP Financial Services Pakistan Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,175407648
41097,PGLC,Pak-Gulf Leasing Company Limited,815,LEASING COMPANIES,25369800
41100,PICL,Pakistan Industrial & Commercial Leasing Ltd.,815,LEASING COMPANIES,39398933
41110,SLL,SME Leasing Limited,815,LEASING COMPANIES,32000000
41135,SLCL,Security Leasing Corporation Limited,815,LEASING COMPANIES,36300000
41140,SPLC,Saudi Pak Leasing Company Limited,815,LEASING COMPANIES,45160500
41146,SLCPA,Security Leasing Corp.9.10%(Pref),815,LEASING COMPANIES,11250000
50950,AMSL,Al-Mal Securities & Services Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,5000000
50955,MCBAH,MCB-Arif Habib Savings and Invest,813,INV. BANKS / INV. COS. / SECURITIES COS.,72000000
50960,AHL,Arif Habib Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,65340000
50970,AHCL,Arif Habib Corporation Limited,809,FERTILIZER,408375000
50990,ICIBL,Invest Capital Investment Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,284866896
